City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Situation
114,Kpandu,6.9954,0.2931,76.14,84,36,4.68,GH,scattered clouds
115,Lisakovsk,52.5369,62.4936,16.83,94,97,3.36,KZ,overcast clouds
116,Westport,41.1415,-73.3579,51.21,77,0,1.99,US,clear sky
117,Boddam,57.4667,-1.7833,55.78,97,100,18.41,GB,overcast clouds
118,Kungsbacka,57.4872,12.0761,54.32,88,43,7.0,SE,scattered clouds
119,Hithadhoo,-0.6,73.0833,80.69,79,100,15.1,MV,overcast clouds
120,Bathsheba,13.2167,-59.5167,81.21,83,40,16.11,BB,scattered clouds
121,Nuevitas,21.5453,-77.2644,77.74,82,50,7.49,CU,scattered clouds
122,Luderitz,-26.6481,15.1594,57.88,92,60,7.63,NA,broken clouds
123,Gravdal,68.1214,13.5031,41.5,80,100,18.79,NO,light rain
124,East London,-33.0153,27.9116,70.57,78,52,12.17,ZA,broken clouds
125,Baijiantan,45.6333,85.1833,36.79,58,72,6.29,CN,broken clouds
126,Talnakh,69.4865,88.3972,8.19,97,96,5.77,RU,overcast clouds
127,Saint-Francois,46.4154,3.9054,51.24,76,0,2.3,FR,clear sky
128,Rawson,-43.3002,-65.1023,49.3,51,81,10.94,AR,broken clouds
129,Cayenne,4.9333,-52.3333,77.04,94,75,0.0,GF,broken clouds
130,Berlevag,70.8578,29.0864,35.4,80,100,36.82,NO,overcast clouds
131,Krasnoselkup,65.7,82.4667,11.64,92,36,9.04,RU,scattered clouds
132,Mar Del Plata,-38.0023,-57.5575,57.09,72,0,6.91,AR,clear sky
133,Touros,-5.1989,-35.4608,78.51,75,17,15.79,BR,few clouds
134,Salalah,17.0151,54.0924,77.09,73,40,4.61,OM,scattered clouds
135,Henties Bay,-22.116,14.2845,57.2,89,69,8.32,NA,broken clouds
136,Jasper,37.2001,-94.3502,64.02,64,75,6.91,US,broken clouds
137,Roald,62.5833,6.1333,49.75,93,100,6.91,NO,overcast clouds
138,Gazojak,41.1875,61.4036,49.91,58,57,10.07,TM,broken clouds
139,Saint-Joseph,-21.3667,55.6167,68.38,80,37,8.88,RE,scattered clouds
140,Huarmey,-10.0681,-78.1522,62.92,83,79,8.5,PE,broken clouds
141,Atbasar,51.8,68.3333,25.12,88,97,6.46,KZ,overcast clouds
142,Coihaique,-45.5752,-72.0662,43.41,49,40,9.22,CL,scattered clouds
143,Apatity,67.5641,33.4031,34.25,89,100,17.83,RU,snow
144,Beoumi,7.6736,-5.5764,74.61,80,41,3.47,CI,scattered clouds
145,Rassvet,46.8333,40.75,45.52,84,96,12.17,RU,overcast clouds
146,Clyde River,70.4692,-68.5914,12.43,79,100,4.61,CA,light snow
147,Mumford,5.2618,-0.759,78.64,84,12,3.6,GH,few clouds
148,Talara,-4.5772,-81.2719,65.16,77,0,13.8,PE,clear sky
149,Nouadhibou,20.931,-17.0347,76.98,47,26,13.8,MR,scattered clouds
150,Iguape,-24.7081,-47.5553,70.99,93,100,5.32,BR,overcast clouds
